timestamp,test.test_val,navigator_pt1.q_w,navigator_pt1.q_x,navigator_pt1.q_y,navigator_pt1.q_z,navigator_pt1.altitude,navigator_pt1.norm,navigator_pt2.vel_x,navigator_pt2.vel_y,navigator_pt2.vel_z,navigator_pt2.rate_x,navigator_pt2.rate_y,navigator_pt2.rate_z,controller.command,controller.canard_coeff,controller.body_coeff,controller.roll_angle_target,controller.roll_rate_target,board_imu.accel_x,board_imu.accel_y,board_imu.accel_z,board_imu.gyro_x,board_imu.gyro_y,board_imu.gyro_z,board_mag_baro.mag_x,board_mag_baro.mag_y,board_mag_baro.mag_z,board_mag_baro.baro,board_mag_baro.temp,movella_pt1.accel_x,movella_pt1.accel_y,movella_pt1.accel_z,movella_pt1.gyro_x,movella_pt1.gyro_y,movella_pt1.gyro_z,movella_pt2.mag_x,movella_pt2.mag_y,movella_pt2.mag_z,movella_pt2.baro,movella_pt3.q_w,movella_pt3.q_x,movella_pt3.q_y,movella_pt3.q_z,ad_breakout.accel_x,ad_breakout.accel_y,ad_breakout.accel_z,ad_breakout.gyro,servo_motor.angle,servo_motor.curr,servo_motor.temp
17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13400,,,,,,,,,,,,,,,,,,,9.718178749084473,0.10532016307115555,-0.07659648358821869,-0.0024434609804302454,-0.0073303827084600925,0.004886921960860491,,,,,,,,,,,,,,,,,,,,,,,,,,
13400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.694290161132812,-0.26681530475616455,0.10986512899398804,-5.050205707550049,,,
13400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
13400,,,,,,,,,,,,,,,,,,,,,,,,,-0.6345000267028809,0.006000000052154064,-0.4830000102519989,97016.0,0.0,,,,,,,,,,,,,,,,,,,,,
13400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,
13400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,
14400,,,,,,,,,,,,,,,,,,,9.689455032348633,0.08617103844881058,-0.08617103844881058,-0.0024434609804302454,-0.004886921960860491,0.004886921960860491,,,,,,,,,,,,,,,,,,,,,,,,,,
14400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.704752922058105,-0.2772786617279053,0.12556014955043793,-5.166958808898926,,,
14400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
14400,,,,,,,,,,,,,,,,,,,,,,,,,-0.6315000057220459,0.0,-0.4860000014305115,97022.0,0.0,,,,,,,,,,,,,,,,,,,,,
14400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,
14400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,
15400,,,,,,,,,,,,,,,,,,,9.708603858947754,0.11489471793174744,-0.12446928024291992,-0.0024434609804302454,-0.0073303827084600925,0.0024434609804302454,,,,,,,,,,,,,,,,,,,,,,,,,,
15400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.600119590759277,-0.21973025798797607,0.08370676636695862,-5.120512962341309,,,
15400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
15400,,,,,,,,,,,,,,,,,,,,,,,,,-0.6345000267028809,0.006000000052154064,-0.48750001192092896,97020.0,0.0,,,,,,,,,,,,,,,,,,,,,
15400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,
15400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,
16400,,,,,,,,,,,,,,,,,,,9.718178749084473,0.04787280037999153,-0.09574560075998306,-0.0024434609804302454,-0.0073303827084600925,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
16400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.652436256408691,-0.2458886206150055,0.09417010843753815,-4.593846321105957,,,
16400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
16400,,,,,,,,,,,,,,,,,,,,,,,,,-0.6359999775886536,0.0044999998062849045,-0.484499990940094,97018.0,0.0,,,,,,,,,,,,,,,,,,,,,
16400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,
16400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,
17400,,,,,,,,,,,,,,,,,,,9.785200119018555,0.18191663920879364,-0.09574560075998306,-0.0,-0.012217304669320583,0.009773843921720982,,,,,,,,,,,,,,,,,,,,,,,,,,
17400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.673362731933594,-0.21973025798797607,0.06801174581050873,-5.326748371124268,,,
17400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
17400,,,,,,,,,,,,,,,,,,,,,,,,,0.48750001192092896,-0.010499999858438969,-0.6315000057220459,97018.0,0.0,,,,,,,,,,,,,,,,,,,,,
